Segment,Country,Product,Discount_Band,Units_Sold,Manufacturing_Price,Sale_Price,Profit,Date,Month_Number,Month_Name,Year,Day
2,0,1,3,0.012365014157117193,-0.8613419326221128,-0.7201504836525847,0.011736248475221025,2014-01-01,-2.0445005357635613,4,0.5773502691896258,0.0
2,2,1,3,-0.3314630324723392,-0.8613419326221128,-0.7201504836525847,-0.13924997133259784,2014-01-01,-2.0445005357635613,4,0.5773502691896258,0.0
3,1,1,3,0.6589928867257924,-0.8613419326221128,-0.7567328739687538,-0.25699384694743466,2014-06-01,-0.5629784083986619,6,0.5773502691896258,0.0
3,2,1,3,-0.83189175244059,-0.8613419326221128,-0.7567328739687538,-0.5843421218248904,2014-06-01,-0.5629784083986619,6,0.5773502691896258,0.0
3,3,1,3,0.9964644484595782,-0.8613419326221128,-0.7567328739687538,-0.18289640798292528,2014-06-01,-0.5629784083986619,6,0.5773502691896258,0.0
2,2,1,3,-0.10956392338711021,-0.8613419326221128,1.6942872772145714,1.9159441920078821,2014-12-01,1.2148481444392174,2,0.5773502691896258,0.0
3,2,2,3,-0.7937528430665663,-0.8429130010930765,-0.7567328739687538,-0.5759680961884907,2014-03-01,-1.4518916848176016,7,0.5773502691896258,0.0
0,0,2,3,1.0519392257308855,-0.8429130010930765,-0.7786823081584552,0.34045481845681513,2014-06-01,-0.5629784083986619,6,0.5773502691896258,0.0
2,1,2,3,0.33654574383631897,-0.8429130010930765,-0.7201504836525847,0.15409468429402165,2014-06-01,-0.5629784083986619,6,0.5773502691896258,0.0
0,2,2,3,-0.07258073853957203,-0.8429130010930765,-0.7786823081584552,-0.10397756031867032,2014-06-01,-0.5629784083986619,6,0.5773502691896258,0.0
3,3,2,3,0.9964644484595782,-0.8429130010930765,-0.7567328739687538,-0.18289640798292528,2014-06-01,-0.5629784083986619,6,0.5773502691896258,0.0
1,0,2,3,1.2224085933875066,-0.8429130010930765,0.048079712986965055,-0.13328665004607043,2014-07-01,-0.266673982925682,5,0.5773502691896258,0.0
4,3,2,3,-0.7509910355866003,-0.8429130010930765,1.328463374052881,1.621325479132355,2014-08-01,0.029630442547297884,1,0.5773502691896258,0.0
2,2,2,3,0.6220097018782541,-0.8429130010930765,-0.8152646984746242,-0.5918533690623887,2014-09-01,0.32593486802027777,11,0.5773502691896258,0.0
1,0,2,3,-1.4594501703222533,-0.8429130010930765,0.048079712986965055,-0.7221329072965638,2013-10-01,0.6222392934932577,10,-1.7320508075688774,0.0
3,4,2,3,-1.14740454817115,-0.8429130010930765,-0.7567328739687538,-0.6536181520896545,2014-12-01,1.2148481444392174,2,0.5773502691896258,0.0
2,0,3,3,-1.5207035702259883,-0.7968406722704859,-0.7201504836525847,-0.6614846610208182,2014-02-01,-1.7481961102905814,3,0.5773502691896258,0.0
3,3,3,3,-0.7324994431628311,-0.7968406722704859,-0.7567328739687538,-0.5625189034997268,2014-02-01,-1.7481961102905814,3,0.5773502691896258,0.0
0,0,3,3,1.0519392257308855,-0.7968406722704859,-0.7786823081584552,0.34045481845681513,2014-06-01,-0.5629784083986619,6,0.5773502691896258,0.0
2,2,3,3,-0.6955162583152931,-0.7968406722704859,1.6942872772145714,1.9159441920078821,2014-06-01,-0.5629784083986619,6,0.5773502691896258,0.0
0,2,3,3,-1.4340242307395707,-0.7968406722704859,-0.7786823081584552,-0.6420467712102652,2014-07-01,-0.266673982925682,5,0.5773502691896258,0.0
2,3,3,3,-0.8376703750730179,-0.7968406722704859,-0.8152646984746242,-0.7200520888050946,2014-08-01,0.029630442547297884,1,0.5773502691896258,0.0
